Speaker,Spoken to,Dialogue
Mrs.Weasley,Arthur Weasley,"How are you, dear?"
Arthur Weasley,Mrs.Weasley,"I am absolutely fine. If they could take the bandages off, I'd walk out of here in a jiffy"
Fred Weasley,Arthur Weasley,"How come they haven't taken them off, then?"
Arthur Weasley,Fred Weasley,"Oh, I start bleeding like mad. The snake had some strange poison in it. Kees the wounds open. But they'll find a curve, don't you doubt."
George Weasley,Arthur Weasley,"What were you doing when it happened, dad?"
Arthur Weasley,George Weasley,That's my own business.
Fred Weasley,Arthur Weasley,"You were guarding it, weren't you? This weapon thing?"
Mrs.Weasley,Fred Weasley,That's enough!
Mrs.Weasley,Arthur Weasley,"Moody and Tonks are outside, Arthur. They're like a word."
Mrs.Weasley,Everybody,"All of you, out, if you please."
Arthur Weasley,Harry Potter,"Harry, stay a moment. I never thanked you properly."
Harry Potter,Arthur Weasley,There's no need--
Arthur Weasley,Harry Potter,"But there is, Harry. If you hadn't had your vision, no one would have found me in time. So… Thank you."
Nymphadora Tonks,Arthur Weasley,"…we searched the whole floor, Arthr, but we couldn’t find that snake. Why a snake, anyway?"
Alastor Moody,Nymphadora Tonks,"He probably sent it as lookout. See what he's up against. That's the closest he's ever gotten to it. So, Potter says he saw the whole thing?"
Mrs.Weasley,Alastor Moody,"Yes. You know, Dumbledore seems like he's been waiting for something like this to happen. When I spoke to him this morning, he seemed very worried about Harry."
Alastor Moody,Mrs.Weasley,"He should be. I mean, if You-Know-Who is really possessing him…"
Gilderoy Lockhart,Everybody,Hullo.
Hermione Granger,Gilderoy Lockhart,Professor Lockhart!
Gilderoy Lockhart,Everybody,"Professor? Me? Did I really? Well, I expect I was hopeless at i! Now, I'll expect alll of you will be wanting my autograph?"
Harry Potter,Gilderoy Lockhart,"Uh, sure…"
Healer,Gildroy,"Ah, there you went, Gildroy. He keeps wandering off, handing out autographs, don't you know? It's a good sign toward recovering his memory, the poor dear."
Ron Weasley,Gilderoy Lockhart,"Yeah, sorry about that, mate."
Gilderoy Lockhart,Ron Weasley,Have we met?
Ron Weasley,Gilderoy Lockhart,"Yeah, it was my wand that backfired on you."
Healer,Ron Weasley,Was it? What a coincidence!
Healer,Gilderoy Lockhart,"This is our long-term resident ward, for permanent spell damage. Well, I must go…"
Mrs.Longbottom,Neville Longbottom,"Come along, Neville."
Ron Weasley,Neville Longbottom,"Hey, Neville!"
Mrs.Longbottom,Neville Longbottom,"Friends of yours, Neville?"
Mrs.Longbottom,Harry Potter,"Ah, yes, Harry Potter. Good to meet you, finally. "
Mrs.Longbottom, George Weasley,And a Weasley.
Mrs.Longbottom,Hermione Granger,and you must be Miss Granger. Neville's mentioned you.
Ron Weasley,Neville Longbottom,"Who're you visiting, Neville?"
Mrs.Longbottom,Neville Longbottom,You haven't told them?
Hermione Granger,Mrs.Longbottom,Told us what?
Mrs.Longbottom,Hermione Granger,"Neville's dear parents were tortured into insanity by You-Know-Who before he disappeared. Aurors, you know, very well respected."
Mrs.Longbottom,Neville Longbottom,"Another one, Alice? All right, come on,  Neville."
Hermione Granger,Neville Longbottom,I never knew… Poor Neville
Mrs.Weasley,Harry Potter,"Are you all right, Harry dear? You look like you're going to be sick."
Phineas Nigellus Black,Harry Potter,"Running away, are we?"
Harry Potter,Phineas Nigellus Black,I have to.
Phineas Nigellus Black,Harry Potter,You know. I thought Gryffindors had to be brave.
Harry Potter,Phineas,I won't hurt anybody else.
Phineas Nigellus Black,Harry Potter,"I see. You are running away out of nobility. You know, that's why I hated teaching. Young people always think they know what's best, as if no one else could possibly understand things better."
Phineas Nigellus Black,Harry Potter,I've brought a message from Dumbledore.
Harry Potter,Phineas,What is it?
Phineas Nigellus Black,Harry Potter,Dumbledore says 'Stay where you are.'
Harry Potter,Phineas,That's it? Stay there while the grown-ups sort things out?
Phineas Nigellus Black,Harry Potter,"When in all your life has listening to Dumbledore ever led you into trouble? Whatever his reasons, he has your best interests at heart, Potter."
Harry Potter,Phineas,Fine! Go! And tell Dumbledore thanks for nothing!
Harry Potter,Ginny Weasley,Get out!
Ginny Weasley,Harry Potter,No.
Harry Potter,Ginny Weasley,Ginny. I'm dangerous. You can't be around me.
Ginny Weasley,Harry Potter,Did you forget that I've been possessed by You-Know-Who before?
Harry Potter,Ginny Weasley,I forgot.
Ginny Weasley,Harry Potter,"Lucky you. Anyway, that's what I wanted to talk to you about. Can you remember everything you've done this year? There aren't any blank spots in your memory?"
Harry Potter,Ginny Weasley,"No, I don’t think so."
Ginny Weasley,Harry Potter,"Then You-Know-Who has never possessed you, Harry. I don't know what's going on with you right now, but possession's not one of them. You're not dangerous."
Harry Potter,Ginny Weasley,"Thanks, Ginny."
Ginny Weasley,Harry Potter,Don't mention it. 
Sirius Black,Harry Potter,"Harry, have you seen Kreaher? I haven't seen him for days now."
Harry Potter,Sirius Black,Haven't seen him.
Sirius Black,Harry Potter,Oh well. Maybe he's crawled up into th air ducts and died… mustn't get my hopes up though.
Severus Snape,Harry Potter,"Potter, excellent. I'd like a word."
Sirius Black,Severus Snape,"You know, I don't like people giving orders in my house."
Severus Snape,Sirius Black,How unfortunate for you. Now kindly get out. My instructions from Dumbledore are to talk with Potter alone.
Sirius Black,Severus Snape,I'm his godfather. I think I'll stay.
Severus Snape,Sirius Black,"Very well, then. I know how you like to pretend you're useful."
Severus Snape,Harry Potter,"It is the Headmaster's wish that I teach you Occulumency, Potter."
Harry Potter,Severus Snape,What's that?
Severus Snape,Harry Potter,"Occlumency. It I an acient form of magic that allows you to defend your mind from external intrusion. We begin at six-o-clock on Monday, Potter."
Severus Snape,Sirius Black,"Well, unlike Sirius here. I don’t have unlimited leisure time."
Sirius Black,Severus Snape,"Just a second, Snape. If I hear that you're using this to give Harry a hard time, you'll have me to answer to. "
Severus Snape,Sirius Black,How touching. Yet Potter is incredibly like his father. Criticism simply bounces off of him.
Sirius Black,Severus Snape,"I've warned you, Snivellus. Dumbledore may think you've reformed, but I now better…"
Severus Snape,Sirius Black,"Touch me one more time, Black, and you won't touch anything again."
Cho Chang,Harry Potter,"Hi, Harry."
Harry Potter,Cho Chang,Hi.
Cho Chang,Harry Potter,Er… bye then.
Harry Potter,Cho Chang,"Hey Cho! Well, uh, Valentine's Day is the same day as our next Hogsmead visit.Well, uh, would you like to, you know, go with me?"
Cho Chang,Harry Potter,Sure!
Harry Potter,Cho Chang,Cool.
Severus Snape,Harry Potter,"Sit, Potter. As you are well aware, I will be teaching you Occlumency. The headmaster feels you should learn this form of magic to defend yourself against the Dark Lord, who is skilled at Legilimency."
Harry Potter,Severus Snape,"What's that, Professor?"
Severus Snape,Harry Potter,Legilimency is the ability to extract thoughts and feelings from others.
Harry Potter,Severus Snape,Voldemort can read minds?
Severus Snape,Harry Potter,"As usual, you have all the subtlety of a stone wall, Potter. The mind is not a book, of which any page can be examined. The mind is complex and multi-layered."
Harry Potter,Severus Snape,So he could read our minds right now? 
Severus Snape,Harry Potter,"Eye contact is normally required for Legilimency to work. In your case, however, things are somewhat different. Your scar has forged a connection between you and the Dark Lord. When your mind is most relaxed, such as during sleep, you receive the Dark Lord's thoughts and feelings. The Headmaster believes that it is inadvisble for this to continue."
Harry Potter,Severus Snape,"But hasn't it helped so far? I mean, it saved Mr. Weasley's life, didn't it?"
Severus Snape,Harry Potter,"Yes, it did, but at the expense of our advantage. The connection between you was so powerful during your vision of the snake that the Dark Lord became aware of it. The Headmaster fears that he may try to use this to his advantage, to manipulate you through false visions. Wand out, Potter. You may use any spell you can think of to try and repel me."
Harry Potter,Severus Snape,What are you going to do?
Severus Snape,Harry Potter,I am going to break into your mind.
Harry Potter,Severus Snape,No!
Severus Snape,Arthur Weasley,"Well, you stopped me eventually. Ideally, you should repel me with your mind. Clear your mind, Potter. Abandon your emotions. Legilimens"
Arthur Weasley,Harry Potter,"Come on, Harry!"
Harry Potter,Arthur Weasley,I've been there before...
Severus Snape,Harry Potter,What was that?
Harry Potter,Severus Snape,I've just realized...
Severus Snape,Harry Potter,"Realized what, Potter?"
Harry Potter,Severus Snape,"What's in the Department of Mysteries, sir?"
Severus Snape,Harry Potter,What did you say?
Harry Potter,Severus Snape,"That corridor, I've been dreaming about it for months...it leads to the Department of Mysteries, I'm sure of it."
Severus Snape,Harry Potter,"There are many things in the Department of Mysteries, Potter, none of which concern you."
Trelawney,Dolores Umbridge,You cannot sack me!
Dolores Umbridge,Sybill Trelawney,I can do whatever I wish!
Sybill Trelawney,Dolores Umbridge,This is my home!
Dolores Umbridge,Albus Dumbledore,Not anymore. Now remove yourself from this castle!
Albus Dumbledore,Dolores Umbridge,She will not be leaving.
Dolores Umbridge,Albus Dumbledore," I have the authority, Headmaster!"
Albus Dumbledore,Dolores Umbridge,"Oh, I agree with you, Professor Umbridge. You do have the power to dismiss my teachers. However... -..-You cannot send them from this"
Dolores Umbridge,Albus Dumbledore,And what of her quarters when I appoint a new teacher.
Albus Dumbledore,Dolores Umbridge,"Happily, that will not be necessary. I have found a successor ...the Ministry can only appoint new teachers if I cannot find one. I think you will find him suitable enough. This is Firenze."
Ron Weasley,Harry Potter,So you're saying this weapon You- Know-Who's after is in the Department of Mysteries?
Harry Potter,Hermione Granger,It's got to be.
Hermione Granger,Harry Potter,That's got to be what Surgis Podmore was doing in the Ministry when he was arrested.
Harry Potter,Hermione Granger,"Probably. Mr. Weasley was probably there when he was attacked, too. That must be what the Order's guarding!"
Ron Weasley,Hermione Granger,But why the Department of Mysteries?
Hermione Granger,Ron Weasley,"It makes perfect sense, Ron. It's got to be something the Ministry's been developing. Something top secret. Look at this. There's been a mass escape from Azkaban."
Ron Weasley,Hermione Granger,Bloody hell!
Harry Potter,Hermione Granger,They're all Death Eaters!
Hermione Granger,Everybody,Yes.
Harry Potter,Hermione Granger,Voldemort.
Cho Chang,Harry Potter,"Hi, Harry."
Hermione Granger,Harry Potter,"Have fun, Harry. Meet me in The Three Broomsticks after. There's something you need to do."
Harry Potter,Hermione Granger,Ok
Cho Chang,Harry Potter,"You know, Cedric and I came here last year. Before…I've been meaning to ask you for ages.. But.. I mean"
Harry Potter,Cho Chang,What?
Cho Chang,Harry Potter,Did Cedric say anything about me before he…he--died?
Harry Potter,Cho Chang,"Oh. Uh, no, there wasn't really much time…Look, maybe we should tak about something else…"
Cho Chang,Harry Potter,I thought you'd want to talk about it! I thought you'd understand!
Cho Chang,Harry Potter,"See you around, Harry."
Harry Potter,Rita Skeeter,What's this all about?
Rita Skeeter,Harry Potter,That's what Little Miss Perfect was about to tell us. 
Hermione Granger,Harry Potter,"Right, well, I figured tha with all of the negative press out about Harry, he should have a chance to defend himself. All of the details. What happened last summer. The truth about Sirius Black and Voldemort, not to mention the names of all the Death Eaters still on the loose."
Rita Skeeter,Hermione Granger,The Prophet will never publish that. Goes agaisnt the public mood.
Hermione Granger,Rita Skeeter,"Well, it doesn't matter. We've found a publisher for the article."
Rita Skeeter,Hermione Granger,Who?
Luna Lovegood,Rita Skeeter,My father. He's the editor of the Quibbler. 
Rita Skeeter,Luna Lovegood,"The Quibbler? You think people will take Harry Potter seriously if he's publised in the Quibbler? It's nothing but a conspiracy theory, cock-and-bull story tabloid!"
Hermione Granger,Rita Skeeter,"Some won't believe Harry, that's true. But every person we do convince is one more ally."
Hermione Granger,Harry Potter,"So, Harry. Ready to tell the public the truth?"
Harry Potter,Hermione Granger,"Yeah, I guess so."
Hermione Granger,Rita Skeeter,"Fire away, Rita."
Hermione Granger,Harry Potter,"Look, Harry! It's your article!"
Harry Potter,Hermione Granger,What on earth?
Hermione Granger,Harry Potter,"Fan mail, Harry! Responses to the article."
Dolores Umbridge,Harry Potter,"Which article is that, dear?"
Harry Potter,Dolores Umbridge,I have just published an article telling the real story about what happened last June.
Dolores Umbridge,Harry Potter,"Where is this article? Right, I will confiscate this. Anyone found possession of this magazine will be expelled."
Harry Potter,Hermione Granger,What?
Hermione Granger,Harry Potter,She's done it to herself. Banning the article will only make people want to read it more.
Harry Potter,Hermione Granger,"We've been doing so well, I though we'd work on some defensive blocking spells tonight.That was really good. "
Dobby,Harry Potter,Mr. Harry Potter!
Harry Potter,Dobby,"What is it, Dobby."
Dobby,Harry Potter,She--
Harry Potter,Dobby,"Who, Dobby? Is it Umbridge?"
Dobby,Harry Potter,"She knws, Harry Potter. She's coming!"
Harry Potter,Dobby,Get out of here! Now!
Draco Malfoy,Harry Potter,"Got you, Potter. Over here, Professor! I've got one!"
Dolores Umbridge,Draco Malfoy,"It's him. Well done, Draco!"
Dolores Umbridge,Harry Potter,"On your feet, Potter. We're going to see the Headmaster!"
Dolores Umbridge,Draco Malfoy,"Search everywhere for the others, Draco. Round them all up. Check everywhere, bathrooms, the library, empty classrooms. We must find them!"
Albus Dumbledore,Cornelius Fudge,"You may be High Inquisitor of this school, Professor Umbridge, but kindly do not manhandle my students."
Cornelius Fudge,Harry Potter,"Well, well, well, Mr.Potter! I expect you know why you're here?"
Harry Potter,Cornelius Fudge,"Not really, no."
Cornelius Fudge,Harry Potter,You don’t? You haven't broken any school rules?
Harry Potter,Cornelius Fudge,School rules? No.
Cornelius Fudge,Harry Potter,Or Ministrerial Decrees?
Harry Potter,Cornelius Fudge,Not that I know of.
Dolores Umbridge,Everybody,I'm afraid the poor girl is unable to speak. But I shall tell you what has transpired. Shortly after dinner she came to me and said that if I went to the Room of Requirement I would fnd n illegally-formed student group. It was at that time this hex took affect. 
Dolores Umbridge,Albus Dumbledore,Since I had received information some time ago that Potter and a number of other students had met in the Hog's Head to start an illegal group--
Albus Dumbledore,Dolores Umbridge,"I'm not sure that's true, Professor."
Dolores Umbridge,Albus Dumbledore,I'm sorry?
Albus Dumbledore,Dolores Umbridge,"In point of fact, when young Potter met those students it was not illegal."
Dolores Umbridge,Albus Dumbledore,"But two days later, Educational Decree Twenty-Four was introduced."
Albus Dumbledore,Dolores Umbridge,"Again, quite correct. However, I wonder if you have any evidence that proves this group has been meeting since then?"
Dolores Umbridge,Albus Dumbledore,I have a witness right here!
Albus Dumbledore,Dolores Umbridge,"Correct again. I must confess that I was, however, under the impression that this young girl only told you a meeting was going on tonight."
Dolores Umbridge,Albus Dumbledore,"Let's ask her, shall we? "
Dolores Umbridge,Marietta,"You can shake your head for an answer, dear. Now, have there been more meetings? What do you mean by shaking your head, girl? "
Albus Dumbledore,Dolores Umbridge,I would think that she was saying there have been no other meetings.
Albus Dumbledore,Marietta,Would that be correct?
Dolores Umbridge,Albus Dumbledore,"But what about Porter? He was the leader, and has been--"
Dolores Umbridge,Marietta,"Why are you saking your head, girl?"
Minerva McGonagall,Dolores Umbridge,"It usually means 'no', Dolores."
Albus Dumbledore,Dolores Umbridge,"Again, I cannot have you manhandling my students, Professor Umbridge."
Dolores Umbridge,Cornelius Fudge,"My apologies, Headmaster. I forgot myself."
Cornelius Fudge,Dolores Umbridge,"Well, what about the meeting tonight? "
Dolores Umbridge,Cornelius Fudge,"Right. Of course. Well, we proceeded down to the Room and entered. We caught Potter just outside. But it doesn't matter. We've found all of their names."
Cornelius Fudge,Albus Dumbledore,"So, Dumbledore, you've been behind this whole thing. Dumbledore's Army."
Albus Dumbledore,Cornelius Fudge,"Well, Minister. You've caught me."
Cornelius Fudge,Albus Dumbledore,This has all been your doing! You've been recruiting students for your army!
Albus Dumbledore,Cornelius Fudge,"Quite correct, Cornelius."
Cornelius Fudge,Harry Potter,I knew it! I KNEW it! You've been plotting against me all this time! This is too good to be true!
Harry Potter,Albus Dumbledore,"Professor, no!"
Albus Dumbledore,Harry Potter,"Quiet, Harry!"
Cornelius Fudge,Harry Potter,"Yes, shut up, Potter. So, you'll be coming with us to the Ministry--"
Albus Dumbledore,Cornelius Fudge,"Ah, yes. I was wondering when we'd hit that little snag."
Cornelius Fudge,Albus Dumbledore,"I see no snag, Dumbledore."
Albus Dumbledore,Cornelius Fudge,But I do. You seem to be laboring under the delusion that I would 'come quietly.'
Cornelius Fudge,Albus Dumbledore,"Resisting arrest, now are you, Dumbledore?"
Albus Dumbledore,Cornelius Fudge,"Precisely. You see, I have absolutely no intention of going to Azkaban."
Albus Dumbledore,Hawkes,"Don't be silly, Hawkes. Leave the wand there."
Cornelius Fudge,Hawkes,"You would really take on two Aurors, Dolores, and my self, Dumbledore?"
Albus Dumbledore,Everybody,"Naturally. All of you did rather well on your spellwork at this school, but if you attempt to take me in by force, I'm afraid I shall have to hurt you. Are you all right?"
Minerva McGonagall,Albus Dumbledore,"Yes, we're fine.Oh, where will you go, Albus?"
Albus Dumbledore,Harry Potter,I'm not going into hiding. Fudge will soon regret removing me from Hogwarts.
Harry Potter,Albus Dumbledore,"I'm so sorry, Professor!"
Albus Dumbledore,Harry Potter,"It's fine. Now listen to me, Harry. Keep studying Occlumency! Do everything Professor Snape tells you. Close your mind! You will understand, in time. Fudge is stirring. Lay back down. They must not think we have had time to talk."
Cornelius Fudge,Everybody,Find him!
Dolores Umbridge,Everybody,"""By Order of the Ministry of Magic: Dolores Jane Umbridge will replace Albus Dumbledore as Head of Hogwarts School of Witchcraft and Wizardry."" My first act as your new Headmistress is to form an Inquisitional Squad, lead by Draco Malfoy. They will report directly to me about the goings on in the halls of this school. Furthermore, our good caretaker, Mr. Filch has requested we reinstate the 'old punishments.' I have decided that there is no reason we shouldn't."
Harry Potter,Ron Weasley,Are you sure you can't? Hagrid said it was important.
Ron Weasley,Harry Potter,"No way. Quidditch practice. If I don't show up, Angelina'll go mad."
Hermione Granger,Rubeus Hagrid,Hagrid...we've been walking for a good hour.
Rubeus Hagrid,Hermione Granger,"Its jus' up ahead, here."
Harry Potter,Rubeus Hagrid,"Could you tell us what it is, Hagrid, please?"
Rubeus Hagrid,harry Potter,"All righ'. Well, I'm showin' yeh this, because tha' Umbridge woman put me on probation. I can' last much longer afore I get sacked like Trelawney."
Hermione Granger,Rubeus Hagrid,We won't let her! 
Rubeus Hagrid,Hermione Granger,"Bah. S'not the end o' the world. If I do, I'll go help Dumbledore. Grea' man… Anway, I wouldn' tell yeh' cept for tha'. I can't leave withou' makin' arraignmen's see? I'll need all o' yer help."
Rubeus Hagrid,Hermione Granger,"Knew yeh'd say yes! Okay, real quiet like from here on. There we are!"
Hermione Granger,Rubeus Hagrid,"Hagrid, I thought none of them wanted to come!"
Rubeus Hagrid,Hermione Granger,"None o' them did, Hermione! I didn' have much ruddy choice inna matter! I couldn' leave 'im!"
Hermione Granger,Rubeus Hagrid,"Oh, why, Hagrid? Why?"
Rubeus Hagrid,Grawp,"He's me brother! Well, half-brother anyway. Me mum had 'im afore she died. Here. I'll introduce yeh to Grawp! Yeh all righ', Grawp? Look wha' I brough' yeh, Grawpy! Two new friends an' all. We 'ave Harry Potter here, see? An' over here is Hermy."
Grawp,Rubeus Hagrid,Hermy!
Rubeus Hagrid,Bane,"Bad Grawpy! Bad boy! We don' attack our friends, Grawpy! See, he don' know any better. Anyway, all yeh need teh do is go an' talk to 'im. Give 'ima bit o' company. Oh blimey..."
Bane,Rubeus Hagrid,"I thought we told you that you were no longer welcome in this place, Hagrid. You or that beast you brought from afar."
Rubeus Hagrid,Bane,S'not up to you who comes and goes in this forest.
Bane,Rubeus Hagrid,You stopped us from invoking our punishments on Firenze for becoming the servant of the humans at
Rubeus Hagrid,Bane,"Stopped yeh from committin' murder, yeh mean! "
Bane,Rubeus Hagrid,"Our ways are not yours, Hagrid. And now you bring that monster here… our patience with it wanes swiftly."
Rubeus Hagrid,Bane,"Well, you'll tolerate 'im as long as he's here!"
Bane,Rubeus Hagrid,"We allow you to pass this time, Hagrid, because you have young with you. But the next time you enter this forest, your life is forfeit."
Minerva McGonagall,Harry Potter,"Please sit, Potter. You're here to have a talk with me about your career thoughts, Potter. We do this so we can begin to aim your courses over the next years to prepare you for that career. "
Harry Potter,Minerva McGonagall,"Oh, yeah. Well, I did think about being an Auror."
Minerva McGonagall,Harry Potter,"Auror. Interesting, Potter. You'll need to top grades for that. Challenging career path, but not unrewarding."
Dolores Umbridge,Minerva McGonagall,Hem hem.
Minerva McGonagall,Harry Potter,"Now then, Potter, you'll need to concentrate on Defense Agains the Dark Arts, Potions, Transfiguration, and Charms to adequately prepare yourself for the general Auror requirements"
Dolores Umbridge,Minerva McGonagall,Hem hem.
Minerva McGonagall,Dolores Umbridge,"May I offer you a cough drop, Professor Umbridge?"
Dolores Umbridge,Minerva McGonagall,"Oh, no thank you, Minerva. Actually, I was just wondering if Potter has the proper temperament to be an Auror"
Minerva McGonagall,Dolores Umbridge,Were you indeed.
Minerva McGonagall,Harry Potter,"If you're serious in this ambition, Potter, I would recommend concentrating on bringing your Potions and Charms grades up before your O.W.L.s I daresay you've got enough time if you apply yourself. Lords knows you've consistently done well in Defense Against the Dark Arts. Professor Lupin."
Dolores Umbridge,Minerva McGonagall,"Excuse me, Minerava, but have you seen my note on Porter's current grades in my class?"
Minerva McGonagall,Dolores Umbridge,"Yes, indeed I have."
Dolores Umbridge,Minerva McGonagall,Then I think you will find that Potter's grades have been consistently poor this year. 
Minerva McGonagall,Dolores Umbridge,"You apparently misunderstand me. I meant that Potter has done well in every Denfense Against the Dark Arts class taugh by compeent teacher. Now, assuming you've passed all of your necessary classes, the Ministry will put you through a number of character and aptitude tests."
Harry Potter,Minerva McGonagall,What's involved in them?
Minerva McGonagall,Harry Potter,"How you stand up under pressure, your persevance, and dedication, things of this nature."
Dolores Umbridge,Minerva McGonagall,Harry Poter has no chance of ever becoming an Auror!
Minerva McGonagall,Harry Potter,"I will assit you in becoming an Auror if it the very last thing I do, Potter! I will coach you nightly in order to get the necessary grades! This concludes our meeting, Potter."
Harry Potter,Minerva McGonagall,"Thanks, Professor. "
Minerva McGonagall,Harry Potter,"You're welcome, Potter. Now hurry or you'll be late for Occlumency."
Severus Snape,Harry Potter,"Have you been practicing, Potter?"
Harry Potter,Severus Snape,Yeah.
Severus Snape,Harry Potter,"Well, we shall see, won't we?"
Draco Malfoy,Severus Snape,"Excuse me, Professor. Professor Umbridge says she needs you right away."
Severus Snape,Draco Malfoy,What on earth for?
Draco Malfoy,Severus Snape,"Well, sir, remember when Montegue vanished over Christmas? She says he's turned up in a toilet on the fourth floor."
Severus Snape,Draco Malfoy,Any idea how he got there?
Draco Malfoy,Severus Snape,"He's pretty confused, but I think he said something about the Vanishing Closet. "
Severus Snape,Harry Potter,"We will pick your remedial potions lesson up tomorrow, Potter."
Sirius Black,James Potter,"Put that away, James. I'm bored. Wish it was full moon."
Remus Lupin,James Potter,Easy for you to say.
James Potter,Sirius Black,"This should cheer you up, Sirius. Look."
Sirius Black,James Potter,Excellent! Snivellus!
James Potter,Sirius Black,"All right, there, Snivellus?"
Sirius Black,James Potter,Expelliarmus!
James Potter,Sirius Black,Impedimenta!
Severus Snape,Snape,You just wait...
Sirius Black,James Potter,"Wait for what, Snivellus? You go wipe that great greasy nose on us?"
James Potter,Everybody,"And now, the moment you've all been waiting for--"
Lily Evens,James Potter,"Leave him alone, James Potter!"
James Potter,Lily Evens,"Another charity case, Lily?"
Lily Evens,James Potter,What has he done to you?
James Potter,Lily Evens,"Nothing. It's more the face that he exists, you see…"
Severus Snape,James Potter,Semper-——
James Potter,Lily Evens,Levicorpus!
Lily Evens,James Potter,"Leave him alone, Potter!"
James Potter,Lily Evens,I will if you go out with me.
Lily Evens,Sirius Black,I wouldn't go out with you if it were a choice between you and the giant squid! Now let him down.
Sirius Black,Lily Evens,Locomotor mortis!
Lily Evens,James Potter,"I said, leave him alone!"
James Potter,Lily Evens,"Don't make me hex you, Lily."
Lily Evens,James Potter,Then let him go!
James Potter,Lily Evens,Fine!
James Potter,Snivellus," You're lucky Lily was here, Snivellus!"
Severus Snape,James Potter,I don't need help from a mud-blood like her!
James Potter,Lily Evens,Apologize to her! Now!
Lily Evens,James Potter,"Don't make him apologize. Honestly, you're as bad as he is!"
James Potter,Lily Evens,I would never call you that.
Lily Evens,James Potter,"You make me sick, Potter."
James Potter,Lily Evens,Lily! Hey Lily!
Severus Snape,Harry Potter,"Having fun, Potter?"
Severus Snape,Harry Potter,Been enjoying yourself?
Harry Potter,Severus Snape,No!
Severus Snape,Harry Potter,"Amusing man, your father..."
Harry Potter,Severus Snape,I--sorry!
Severus Snape,Harry Potter,You will repeat what you saw to no one!
Harry Potter,Severus Snape,"No, of course not!"
Severus Snape,Harry Potter,"You had better not, Potter, or you will experience a pain so horrible you will wish you had never been born!"
Severus Snape,Harry Potter,Now get out of my sight! Do not set foot in this office ever again!
McGonagall,whole school,"Today begins your O.W.L exams. A number of Ministry instructors are here to give them. Exams will take place for the next two weeks. Exams will be split in two parts, theory and practical application."
McGonagall,whole school,"I must warn you that the most stringent anti-cheating spells have been added to your exam papers. No student has successfully cheated on an O.W.L in a century, though every year someone tries it."
McGonagall,whole school,"Naturally, cheating will not be suffered and anyone caught will be explelled from Hogwarts."
Ron Weasley,Harry Potter,Oy! That's Umbridge down there!
Harry Potter,Ron Weasley,They're heading for Hagrid's!
Professor Tofty,Students,"Eyes back on the sky, please."
Professor Tofty,Students,"twenty minutes left on your exam, students."
Harry Potter,Hawlish,No!
Hawlish,Rubeus Hagrid,"Be reasonable, Hagrid!"
Ron Weasley,Harry Potter,Look!
Ron Weasley,Harry Potter,McGonagall'll sort this out!
McGonagall,Rubeus Hagrid,How dare you! How DARE you!
McGonagall,Rubeus Hagrid,Stop this immediately!
McGonagall,Hagrid,Enough!
Professor Tofty,Hagrid,Not even a warning!
Hagrid,everybody,COWARDS!
Dolores Umbridge,everybody,"Get him, get him!"
Professor Sprout,Professor Flitwick,Get her to the hospital wing right away.
Griselda Marchbanks,everybody,"Before we begin, I have an update on Professor McGonagall. She will be all right, and is resting in the hospital wing."
Griselda Marchbanks,everybody,You may now turn your papers over and begin.
Voldemort,Sirius Black,"Can you reach it? Can you take it for me, Black?"
Sirius Black,Voldemort,I would rather die!
Voldemort,Sirius Black,"Oh, you will die. Eventually. But there are hours, even days of pain awaiting you before then. "
Voldemort,Sirius Black,"I'm going to enjoy this, Black. I have you, and soon I shall have the weapon. And then not even your pathetic Order can stand in my way! "
Griselda Marchbanks,Harry Potter,"Are you all right, Potter? "
Griselda Marchbanks,Harry Potter,"Pressure of exams. It happens. Take a breath, and maybe you'll be ready to go back in. Time is nearly up, but--—"
Harry Potter,Griselda Marchbanks,"No--no, I've done all I can."
Ron Weasley,Harry Potter,You all right?
Harry Potter,Ron Weasley,Voldemort! He's got Sirius! In the Department of Mysteries!
Hermione Granger,Harry Potter,How do you know?
Harry Potter,Hermione Granger,I just saw it. 
Harry Potter,"Hermione Granger,Ron Weasley",How're we going to get there?
Ron Weasley,Harry Potter,To the Department of Mysteries?
Harry Potter,Ron Weasley,We've got to do something!
Hermione Granger,Ron Weasley,"How'd Voldemort get into the Ministry of Magic without being seen? I mean, he and Sirius are the two most wanted wizards in the world..."
Ron Weasley,Hermione Granger,Yeah. They can't just waltz into the Ministry of Magic!
Hermione Granger,Harry Potter,"It just seems so unlikely, Harry!"
Harry Potter,Hermione Granger,I won't let Sirius die!
Ginny Weasley,Harry Potter,We heard Harry yelling. What's up?
Harry Potter,Ginny Weasley,Voldemort's broken into the Department of Mysteries. He's got Sirius there!
Harry Potter,Ginny Weasley,He could already have the weapon!
Hermione Granger,Harry Potter,"Think, Harry! Voldemort knows you! He knows you'd rush off to save Sirius."
Harry Potter,Hermione Granger,"There isn't anyone else, Hermione! Everybody from the Order is gone!"
Ginny Weasley,Harry Potter,Anything we can do to help?
Harry Potter,Ginny Weasley,"No, there isn't!"
Hermione Granger,Harry Potter,"Yes, they can, Harry."
Harry Potter,Hermione Granger,How?
Hermione Granger,Harry Potter,"Before we do anything, we need to establish that Sirius really isn't at Headquarters. Which means we'll need to break into Umbridge's office."
Hermione Granger,Harry Potter,"For that, we'll need a really good distraction."
