Speaker,Spoken to,Dialogue
Arthur Weasley,Harry Potter,"There you are, Harry, in you go...good luck..."
Cornelius Fudge,Harry Potter,You're late.
Harry Potter,Cornelius Fudge,Er...sorry.
Cornelius Fudge,Albus Dumbledore,"No matter, the accused will take his seat. "
Cornelius Fudge,Albus Dumbledore,"Very well, we are ready to begin."
Albus Dumbledore,Cornelius Fudge,"Witness for the Defence, Albus Percival Wulfric Brian Dumbledore."
Cornelius Fudge,Harry Potter,"Ah...you...er...got our message that the time had changed, did you?"
Cornelius Fudge,Albus Dumbledore,"Must have missed it. However, due to a fortunate mistake, I arrived at the Ministry three hours early."
Cornelius Fudge,Albus Dumbledore,Well. The...ah...charges. 
Cornelius Fudge,Harry Potter,"The charges against the accused shall now be read into the record: That the accused did with deliberation and fore-knowledge of the illegality of his actions, produce a patronus charm in full sight of a Muggle. You are Harry James Potter?"
Harry Potter,Cornelius Fudge,Yes.
Cornelius Fudge,Harry Potter,And you conjured a patronus on the night of eleventh of August?
Harry Potter,Cornelius Fudge,"Yes, but-"
Cornelius Fudge,Harry Potter,Within full sight of a Muggle?
Harry Potter,Cornelius Fudge,"Yes, but-"
Susan Bones,Harry Potter,"You produced a Patronus? A fully- formed Patronus, with a clearly- defined shape?"
Harry Potter,Susan Bones,Yes.
Susan Bones,Harry Potter,"That is most remarkable, Mr. Potter."
Cornelius Fudge,Harry Potter,It doesn't matter how impressive it was!
Harry Potter,Susan Bones,But I did it because of the Dementors!
Susan Bones,Harry Potter,What do you mean?
Harry Potter,Cornelius Fudge,"My cousin and I were attacked by Dementors. That's why I had to use the Patronus, to drive them away."
Cornelius Fudge,Harry Potter,"Ah, yes, yes, another cock-and-bull story."
Harry Potter,Cornelius Fudge,It's the truth
Cornelius Fudge,Harry Potter,Of course it is.
Susan Bones,Harry Potter,Dementors in Little Whinging?
Cornelius Fudge,Arabella Figg,"Oh, come now, Susan. He's clearly lying."
Albus Dumbledore,Cornelius Fudge,"Actually, we have a witness to the presence of the Dementors in question."
Cornelius Fudge,Albus Dumbledore,We haven't got time to-
Albus Dumbledore,Cornelius Fudge,"I may be wrong, but I do believe that it says somewhere in the Wizagammot Charter of Rights that the Accused has the right to present witnesses to prove his or her case? In fact, I do believe I wrote that particular bit myself."
Cornelius Fudge,Percy,"Very well. Weasley, fetch the witness."
Cornelius Fudge,Arabella Figg,Full name?
Arabella Figg,Cornelius Fudge,"Arabella Doreen Figg, resident of Little Whinging."
Cornelius Fudge,Arabella Figg,So...what is your story?
Arabella Figg,Cornelius Fudge,I was sitting on my porch when I saw the two Dementors gliding towards the two boys.
Susan Bones,Arabella Figg,What did the Dementors look like?
Arabella Figg,Susan Bones,"Well, they were big and wore great, tattered cloaks."
Susan Bones,Arabella Figg,Anything else?
Arabella Figg,Cornelius Fudge,I-I felt them. It was horrible...like I would never be happy again.
Cornelius Fudge,Arabella Figg,"Very well, you may go."
Cornelius Fudge,Susan Bones,Not very convincing.
Susan Bones,Cornelius Fudge,"Oh, I disagree. She described their effects very completely."
Cornelius Fudge,Albus Dumbledore,So two Dementors just happen to be in Little Whinging? I think not...
Albus Dumbledore,Cornelius Fudge,"Only if the Dementors are still taking their orders from only the Ministry these days. I believe you know my views on this, Cornelius."
Cornelius Fudge,Dolores Umbridge,"Yes, and they're nothing but bilge, Dumbledore."
Dolores Umbridge,Cornelius Fudge,"Excuse me, Dumbledore, but did you just accused the Ministry of Magic of ordering an attack on this boy?"
Albus Dumbledore,Dolores Umbridge,"If the dementors are taking their orders from the Ministry exclusively, then it must certainly follow logically that someone in the Ministry ordered the attack. And in that case, I'm sure the Ministry will make a full inquiry"
Cornelius Fudge,Albus Dumbledore,Dementors are irrelevant!
Albus Dumbledore,Cornelius Fudge,"On the contrary, Cornelius. If they were there, then harry was acting in self-defense, which is perfectly allowable under Clause Seven of the Decree of Reasonable Restriction of Underaged Wizardry. We are all in agreement on this?"
Cornelius Fudge,Albus Dumbledore,"Well, yes, if he's telling the truth!"
Albus Dumbledore,Cornelius Fudge,"You have heard it from eye-witnesses, Cornelius"
Cornelius Fudge,Everybody,"Very well, all for clearing the accused of charges?"
Cornelius Fudge,Everybody,All opposed?
Cornelius Fudge,Everybody,Fine! Cleared of all charges!
Albus Dumbledore,Arthur Weasley,Excellent.
Arthur Weasley,Harry Potter,"Harry, you've been let off! That's wonderful!"
Arthur Weasley,Harry Potter,You were tried by the full court?
Harry Potter,Arthur Weasley,"I think so, yeah."
Arthur Weasley,Harry Potter,"Well, no matter. Let's go home."
Harry Potter,Arthur Weasley,Er...is Percy mad at you?
Arthur Weasley,Lucius Malfoy,"Ah...yes...I'm afraid we had a bit of a row. He, well, he sided with Fudge and the rest of us sided with Dumbledore, so Percy left."
Lucius Malfoy,Harry Potter,"Well, well, if it isn't Patronus Potter."
Harry Potter,Lucius Malfoy,What are you doing here?
Lucius Malfoy,Cornelius Fudge,"Come now, Potter, I really don't think that private matters between the Minister and myself are any concern of yours."
Lucius Malfoy,Harry Potter,"All you need to concern yourself about are… your dreams, Potter."
Lucius Malfoy,Cornelius Fudge," Shall we continue this in your office, Fudge?"
Cornelius Fudge,Lucius Malfoy,Certainly.
Harry Potter,Arthur Weasley,"If he wanted to talk to the Minister, why down here?"
Arthur Weasley,Harry Potter,"Dunno, Harry. Some things are just beyond comprehension. Settle down, you three! Sirius, we saw Fudge talking with Lucius Malfoy on Level Nine again. Tell Dumbledore, next time he comes in, would you?"
Ron Weasley,Harry Potter,I knew it!
Everybody,Harry Potter,"He got off, he got off, he got off!"
Arthur Weasley,Everybody,"Settle down, you three!"
Arthur Weasley,Sirius Black,"Sirius, we saw Fudge talking with Lucius Malfoy on Level Nine again. Tell Dumbledore, next time he comes in, would you?"
Sirius Black,Arthur Weasley,"Yeah, absolutely."
Arthur Weasley,Fred Weasley,"Well, I'd better be off. I've got a bewitched vomiting toilet to deal with."
Fred Weasley,George Weasley,"George, remember that concept. Vomiting Toilet."
George Weasley,Arthur Weasley,"Right you are, Fred."
Arthur Weasley,Sirius Black,"Also, I'm covering for Tonks on guard duty later tonight, so I won't be back until late."
Sirius Black,Harry Potter,Harry!
Sirius Black,Harry Potter,"You all right, Harry?"
Harry Potter,Sirius Black,Yeah...just...my scar...the pain is getting stronger.
Sirius Black,Harry Potter,"Harry, I've got something that might interest you."
Sirius Black,Harry Potter,This was the original Order of the Phoenix. Found it while we were cleaning.
Sirius Black,Harry Potter,"There's Mad-eye and Dumbledore, right next to Dedalus Diggle; Marlene McKinnon, she was killed two weeks after this was taken...; then there's Frank and Alice Longbottom, tortured into insanity by Death Eaters; Lupin, of course.. Ah, Edgar Bones, they only ever found bits of him; Caradoc Dearborn, he vanished six months later...; Hagrid, of course; Gideon and Fabian Prewett, it took fice Death Eaters to finish those two off; me, of course...; and there they are!"
Harry Potter,Sirius Black,My parents.
Harry Potter,Sirius Black,"I miss them, Sirius..."
Sirius Black,Harry Potter,"I know, Harry, I know. I miss them too. "
Sirius Black,Harry Potter,It's not fair that I got to spend so much time with them and you didn't...
Harry Potter,Sirius Black,"Why'd they have to die, Sirius, why?"
Sirius Black,Harry Potter,"I don’t' know, Harry. I wish I did, but I don't…"
Sirius Black,Harry Potter,"I know I'm not your father, Harry, but I'll always be there for you, if I can help it..."
Harry Potter,Sirius Black,Thanks.
Kreacher,Sirius Black,"That mudblood with the scar, he cries, why does he cry so…?"
Sirius Black,Kreacher,"Kreacher, get out of here! Now!"
Kreacher,Harry Potter,"Oh, how the old Mistress would weep to see the traitor in her house..."
Harry Potter,Sirius Black,Who..who was that?
Sirius Black,Harry Potter,"Kreacher. He's been alone with the house for years, he's gone a bit funny. You'd better get some rest."
Hermione Granger,Harry Potter,"Harry, Ron and I, we've been named House Prefects!"
Hermione Granger,Harry Potter,"What about you, Harry?"
Hermione Granger,Harry Potter,Are you sure? I would have thought you would get one!
Harry Potter,Ron Weasley,I'm sure. Nothing.
Harry Potter,Hermione Granger,"So...congratulations Ron, Hermione..."
Harry Potter,Hermione Granger,"Well…thanks Harry,"
Ron Weasley,Harry Potter,"Come on, lets go back downstairs!"
